ABC
012341, 567891
012342, 567892
012343, 567893
012344, 567894
012345, 567895
012346, 567896
012347, 567897
012348, 567898
012349, 567899
012341, 567891
012342, 567892
012343, 567893
012344, 567894
012345, 567895
012346, 567896
012347, 567897
012348, 567898
012349, 567899
012341, 567891
012342, 567892
012343, 567893
012344, 567894
012345, 567895
012346, 567896
012347, 567897
012348, 567898
012349, 567899
012341, 567891
012342, 567892
012343, 567893
012344, 567894
012345, 567895
012346, 567896
012347, 567897
012348, 567898
012349, 567899
